COMP,GAP,COMPGAP,TRT,TREE#,STATUS,SPP,DBH,HEIGHT,CRWNcls,HTCB,DISTANCE ,SIDE,P/NP,COMMENTS
60,H,60H,MBB,20,,DF,3.6,,,0.8,,,NP,
60,H,60H,MBB,22,,IC,4.8,,,5.7,,,P,
60,H,60H,MBB,23,,IC,5.9,,,1.2,,,NP,
60,H,60H,MBB,24,,IC,2.5,,,5,,,P,
60,H,60H,MBB,25,,PP,9.6,,,4.5,,,NP,WITNESS AZ65 D10.6
60,H,60H,MBB,26,,PP,11.1,,,7,,,P,
60,H,60H,MBB,27,,IC,4.7,,,6.5,,,P,
60,H,60H,MBB,28,,WF,4,,,6,,,P,
60,H,60H,MBB,29,,PP,8.4,,,5.5,,,NP,
60,H,60H,MBB,30,,PP,8.2,,,11.5,,,P,
60,H,60H,MBB,31,,IC,3.2,,,5.4,,,P,
60,I,60I,MBB,1,,DF,2.9,,,1.2,,,NP,
60,I,60I,MBB,3,,PP,4.8,,,1.2,,,NP,
60,I,60I,MBB,6,,IC,4.1,,,4.5,,,P,
60,I,60I,MBB,7,,IC,4.5,,,6,,,P,
60,I,60I,MBB,8,,PP,5.2,,,3.1,,,NP,
60,I,60I,MBB,9,,PP,7,,,6.6,,,NP,WITNESS D18.8 AZ316
60,I,60I,MBB,10,,IC,5.2,,,1.4,,,NP,
60,I,60I,MBB,11,,IC,4.7,,,6,,,P,WITNESS D12.5 AZ138
60,I,60I,MBB,13,,IC,6.4,,,0.4,,,NP,
60,I,60I,MBB,14,,DF,3.7,,,0,,,NP,
60,J,60J,MBB,2,,DF,3.9,,,0,,,NP,
60,J,60J,MBB,3,,PP,7.5,,,8.6,,,P,
60,J,60J,MBB,4,,SP,4.1,,,6,,,P,
60,J,60J,MBB,5,,WF,1.2,,,0,,,NP,
60,J,60J,MBB,6,,WF,3.7,,,0,,,NP,
60,J,60J,MBB,7,,IC,4.4,,,5.8,,,P,WITNESS D12.8 AZ160
60,J,60J,MBB,8,,WF,6.3,,,5.6,,,P,
60,J,60J,MBB,9,,PP,4,,,2,,,NP,
60,J,60J,MBB,11,,SP,3.4,,,1.5,,,NP,
60,J,60J,MBB,12,,PP,8.6,,,7.7,,,P,
60,J,60J,MBB,13,,PP,7.7,,,4.1,,,NP,WITNESS 
60,J,60J,MBB,14,,SP,5,,,4.8,,,NP,
60,J,60J,MBB,15,,PP,2.6,,,1.5,,,NP,
60,J,60J,MBB,16,,PP,2.5,,,0.8,,,NP,
60,J,60J,MBB,17,,PP,8,,,4.4,,,NP,
60,J,60J,MBB,18,,DF,5.2,,,6.5,,,P,
60,J,60J,MBB,19,,DF,5.4,,,7.3,,,P,
400,F,400F,BB,1,,IC,2.4,,,1,,,,
400,F,400F,BB,2,,PP,4.5,,,1,,,,
400,F,400F,BB,4,,IC,2.7,,,1,,,,
400,F,400F,BB,5,,WF,2.9,,,0,,,,
400,F,400F,BB,6,,IC,2.7,,,0.5,,,,
400,F,400F,BB,7,,PP,6.2,,,3.5,,,,
400,F,400F,BB,9,,PP,4.7,,,4,,,,
400,F,400F,BB,10,,PP,6.9,,,3,,,,
400,F,400F,BB,12,,PP,5,,,3,,,,
400,F,400F,BB,13,,PP,3.8,,,2,,,,
400,F,400F,BB,17,,IC,5.1,,,0,,,,
400,F,400F,BB,20,,DF,2.5,,,0,,,,
400,F,400F,BB,24,,WF,20.1,,,4,,,,RESIDUAL
400,F,400F,BB,26,,DF,2.2,,,0,,,,
400,F,400F,BB,28,,DF,3,,,0,,,,
400,F,400F,BB,29,,IC,3.4,,,1,,,,
400,F,400F,BB,30,,PP,7.3,,,4,,,,
400,F,400F,BB,31,,PP,4.5,,,3.5,,,,
400,G,400G,BB,1,,IC,3.1,,,0,,,,
400,G,400G,BB,1,,PP,5.3,,,2.5,,,,
400,G,400G,BB,2,,IC,3.4,,,0,,,,
400,G,400G,BB,2,,PP,7.1,,,2.5,,,,
400,G,400G,BB,3,,IC,4,,,0,,,,
400,G,400G,BB,3,,PP,4.6,,,4,,,,
400,G,400G,BB,4,,SP,3.9,,,2,,,,
400,G,400G,BB,4,,WF,4.2,,,2.5,,,,
400,G,400G,BB,5,,IC,3.6,,,0.5,,,,
400,G,400G,BB,5,,SP,3.5,,,2,,,,
400,G,400G,BB,6,,PP,5,,,2.5,,,,
400,G,400G,BB,6,,WF,3.7,,,0,,,,
400,G,400G,BB,7,,DF,2,,,1,,,,
400,G,400G,BB,7,,WF,1.9,,,0.5,,,,
400,G,400G,BB,8,,DF,2.7,,,0,,,,
400,G,400G,BB,8,,PP,4.9,,,4,,,,
400,G,400G,BB,9,,PP,7.4,,,3.5,,,,
400,G,400G,BB,9,,PP,3.5,,,4,,,,
400,G,400G,BB,10,,PP,6.6,,,6,,,,
400,G,400G,BB,10,,SP,4,,,3.5,,,,
400,G,400G,BB,11,,DF,2.9,,,0.5,,,,
400,G,400G,BB,11,,PP,6.1,,,4,,,,
400,G,400G,BB,12,,PP,6.8,,,5,,,,
400,G,400G,BB,13,,IC,3.3,,,1.5,,,,JOINED AT BASE WITH 14
400,G,400G,BB,13,,SP,3.9,,,2,,,,
400,G,400G,BB,14,,IC,3.7,,,1,,,,JOINED AT BASE WITH 13
400,G,400G,BB,14,,PP,3.8,,,3.5,,,,
400,G,400G,BB,15,,PP,3.1,,,3.5,,,,
400,G,400G,BB,15,,PP,4.2,,,3,,,,
400,G,400G,BB,16,,WF,2.8,,,0,,,,
400,G,400G,BB,17,,DF,3.1,,,0.5,,,,
400,G,400G,BB,18,,PP,4,,,5,,,,
400,G,400G,BB,19,,SP,4,,,3.5,,,,
400,G,400G,BB,20,,PP,5.7,,,5,,,,
400,G,400G,BB,21,,WF,4.8,,,0,,,,
400,G,400G,BB,22,,PP,5.5,,,3,,,,
400,G,400G,BB,23,,IC,4.6,,,0.5,,,,JOINED AT BASA WITH 24
400,G,400G,BB,24,,IC,4.9,,,0.5,,,,JOINED AT BASA WITH 23
400,G,400G,BB,25,,PP,8.7,,,4,,,,
400,G,400G,BB,26,,WF,4.7,,,0,,,,
400,G,400G,BB,27,,PP,9.7,,,4,,,,
400,G,400G,BB,28,,PP,8.4,,,5.6,,,,
400,G,400G,BB,29,,PP,7.1,,,11.9,,,,
400,G,400G,BB,30,,PP,6.5,,,7.9,,,,
400,G,400G,BB,31,,PP,5.3,,,7.4,,,,TAG SCRACHED
400,G,400G,BB,32,,PP,5.9,,,8.6,,,,
400,G,400G,BB,33,,PP,1.5,,,3.5,,,,
400,G,400G,BB,34,,PP,8.3,,,4.5,,,,
400,G,400G,BB,35,,IC,3,,,2.5,,,,
400,G,400G,BB,36,,IC,3,,,2,,,,
400,G,400G,BB,37,,IC,3,,,0,,,,
400,G,400G,BB,38,,PP,3.2,,,3.5,,,,
400,G,400G,BB,39,,DF,1.7,,,0,,,,
400,G,400G,BB,40,,PP,6.8,,,3,,,,
400,G,400G,BB,41,,PP,6.8,,,5.5,,,,
400,G,400G,BB,41,,PP,3.6,,,4,,,,
400,G,400G,BB,42,,DF,3,,,0,,,,
400,G,400G,BB,42,,IC,4.1,,,0,,,,
400,G,400G,BB,43,,PP,9,,,4.5,,,,
400,G,400G,BB,43,,WF,3.2,,,1,,,,
400,G,400G,BB,44,,IC,2.9,,,0,,,,
400,G,400G,BB,44,,PP,6,,,5,,,,
400,G,400G,BB,45,,SP,3,,,2,,,,WITNESS AZ30 D7.2
400,G,400G,BB,45,,WF,2.2,,,1,,,,
400,G,400G,BB,46,,PP,7.3,,,5,,,,
400,G,400G,BB,46,,WF,4,,,0,,,,
400,G,400G,BB,47,,PP,7.3,,,5.5,,,,
400,G,400G,BB,47,,PP,7.4,,,3,,,,
400,G,400G,BB,48,,PP,5.5,,,2,,,,
400,G,400G,BB,48,,SP,2.4,,,2.5,,,,WITNESS AZ308 D1.9
400,G,400G,BB,49,,PP,4.3,,,3,,,,
400,G,400G,BB,49,,WF,2.1,,,0.5,,,,
400,G,400G,BB,50,,PP,7,,,5,,,,
400,G,400G,BB,51,,PP,7.6,,,5,,,,
400,G,400G,BB,52,,PP,4.1,,,3,,,,WITNESS AZ38 D6.9
400,G,400G,BB,53,,PP,3.2,,,2,,,,
400,G,400G,BB,54,,SP,2.7,,,0.5,,,,
400,G,400G,BB,55,,SP,3.9,,,1,,,,
400,G,400G,BB,56,,PP,3.9,,,5,,,,
400,G,400G,BB,57,,PP,4.3,,,3,,,,
400,G,400G,BB,58,,IC,5.8,,,0,,,,
400,G,400G,BB,60,,IC,4.5,,,0.5,,,,
400,G,400G,BB,61,,PP,3.2,,,3,,,,TAG SCRACNED
400,G,400G,BB,62,,PP,7,,,3.5,,,,
400,G,400G,BB,63,,PP,7.4,,,4,,,,
400,G,400G,BB,64,,DF,7.1,,,3,,,,
400,G,400G,BB,66,,WF,2.1,,,0.5,,,,
400,G,400G,BB,67,,PP,7,,,2.5,,,,
400,G,400G,BB,68,,PP,4.7,,,3.5,,,,
400,G,400G,BB,69,,PP,6.7,,,3,,,,
400,G,400G,BB,70,,PP,4.7,,,4,,,,
400,H,400H,BB,2,,IC,4.9,,,2,,,,
400,H,400H,BB,3,,DF,13.2,,,17.5,,,,RESIDUAL
400,H,400H,BB,4,,IC,3.5,,,3,,,,
400,H,400H,BB,5,,IC,5.4,,,2.5,,,,
400,H,400H,BB,6,,IC,3.3,,,2.5,,,,
400,H,400H,BB,7,,IC,3.7,,,2,,,,
400,H,400H,BB,8,,PP,5.1,,,4,,,,
400,H,400H,BB,9,,PP,8.2,,,5,,,,WRITE ON TAG
400,H,400H,BB,11,,IC,2.5,,,0.5,,,,
400,H,400H,BB,12,,PP,6,,,4,,,,
400,H,400H,BB,13,,PP,7.7,,,6,,,,
400,H,400H,BB,14,,PP,7,,,5,,,,
400,H,400H,BB,16,,PP,6.4,,,7.5,,,,
400,H,400H,BB,17,,IC,3.8,,,0.5,,,,
400,H,400H,BB,18,,WF,2.4,,,1,,,,
400,H,400H,BB,19,,PP,7.3,,,3.5,,,,
400,H,400H,BB,20,,PP,8,,,4,,,,
400,H,400H,BB,21,,IC,4.6,,,0,,,,
400,H,400H,BB,22,,WF,3.6,,,0.5,,,,
400,H,400H,BB,23,,WF,3.1,,,0,,,,
400,H,400H,BB,24,,PP,8.2,,,3.5,,,,
400,H,400H,BB,25,,PP,6.5,,,4.5,,,,
400,H,400H,BB,26,,WF,2.4,,,0.5,,,,
400,H,400H,BB,27,,DF,2.3,,,3,,,,
400,H,400H,BB,28,,DF,2,,,3.5,,,,
400,H,400H,BB,29,,DF,2.1,,,3,,,,
400,H,400H,BB,30,,PP,7.1,,,8.1,,,,
400,H,400H,BB,31,,PP,6.9,,,6,,,,WITNESS AZ1 D17.8
400,H,400H,BB,32,,DF,3.5,,,0.5,,,,
400,H,400H,BB,33,,IC,3.3,,,0,,,,
400,H,400H,BB,34,,IC,3.1,,,0.5,,,,WITNESS AZ262 D9.1
400,H,400H,BB,35,,WF,3.4,,,1,,,,
400,H,400H,BB,36,,PP,8.3,,,2.5,,,,WITNESS AZ92 D5.7
400,H,400H,BB,37,,WF,2.2,,,0,,,,
400,H,400H,BB,38,,PP,5.5,,,3,,,,
400,H,400H,BB,39,,WF,2.7,,,0,,,,
400,H,400H,BB,41,,WF,2.2,,,1,,,,40 SKIPPED
400,H,400H,BB,43,,PP,6.7,,,7.2,,,,
400,H,400H,BB,44,,PP,7.7,,,6.7,,,,
400,H,400H,BB,45,,IC,3.9,,,0,,,,
400,H,400H,BB,46,,PP,2.1,,,2.5,,,,
400,H,400H,BB,47,,PP,7.9,,,4,,,,
400,H,400H,BB,48,,IC,2.9,,,0,,,,JOINED AT BASE WITH 49
400,H,400H,BB,49,,IC,3.1,,,0,,,,JOINED AT BASE WITH 48
400,H,400H,BB,50,,WF,2.9,,,0.5,,,,
400,H,400H,BB,51,,WF,3,,,0.5,,,,
400,H,400H,BB,52,,PP,6.9,,,4,,,,
400,H,400H,BB,53,,PP,7.8,,,5,,,,
400,H,400H,BB,54,,WF,16.3,,,3,,,,RESIDUAL
400,H,400H,BB,56,,WF,11.7,,,3,,,,RESIDUAL
400,H,400H,BB,57,,DF,9.1,,,23.5,,,,RESIDUAL
400,H,400H,BB,58,,IC,2.8,,,2,,,,
400,H,400H,BB,59,,IC,2.7,,,0.5,,,,
400,H,400H,BB,60,,WF,4.1,,,0,,,,
400,H,400H,BB,61,,SP,2.7,,,0,,,,
400,H,400H,BB,62,,PP,4.4,,,1.5,,,,
400,H,400H,BB,63,,PP,6,,,1,,,,
